n,k,buckets
2,1,1
3,2,3
3,1,2
4,3,2
4,2,4
4,1,3
5,4,3
5,3,7
5,2,9
5,1,3
6,5,2
6,4,6
6,3,13
6,2,10
6,1,3
7,6,3
7,5,7
7,4,20
7,3,23
7,2,12
7,1,3
8,7,2
8,6,6
8,5,16
8,4,31
8,3,30
8,2,12
8,1,3
9,8,3
9,7,7
9,6,20
9,5,42
9,4,61
9,3,36
9,2,12
9,1,3
10,9,2
10,8,6
10,7,16
10,6,37
10,5,71
10,4,77
10,3,38
10,2,12
10,1,3
11,10,3
11,9,7
11,8,20
11,7,42
11,6,100
11,5,138
11,4,104
11,3,40
11,2,12
11,1,3
12,11,2
12,10,6
12,9,16
12,8,37
12,7,81
12,6,160
12,5,188
12,4,112
12,3,40
12,2,12
12,1,3
13,12,3
13,11,7
13,10,20
13,9,42
13,8,100
13,7,207
13,6,329
13,5,271
13,4,125
13,3,40
13,2,12
13,1,3
14,13,2
14,12,6
14,11,16
14,10,37
14,9,81
14,8,180
14,7,347
14,6,451
14,5,306
14,4,125
14,3,40
14,2,12
14,1,3
15,14,3
15,13,7
15,12,20
15,11,42
15,10,100
15,9,207
15,8,468
15,7,723
15,6,708
15,5,367
15,4,125
15,3,40
15,2,12
15,1,3
16,15,2
16,14,6
16,13,16
16,12,37
16,11,81
16,10,180
16,9,382
16,8,766
16,7,1042
16,6,834
16,5,377
16,4,125
16,3,40
16,2,12
16,1,3
17,16,3
17,15,7
17,14,20
17,13,42
17,12,100
17,11,207
17,10,468
17,9,974
17,8,1653
17,7,1739
17,6,1083
17,5,392
17,4,125
17,3,40
17,2,12
17,1,3
18,17,2
18,16,6
18,15,16
18,14,37
18,13,81
18,12,180
18,11,382
18,10,836
18,9,1643
18,8,2409
18,7,2148
18,6,1143
18,5,392
18,4,125
18,3,40
18,2,12
18,1,3
19,18,3
19,17,7
19,16,20
19,15,42
19,14,100
19,13,207
19,12,468
19,11,974
19,10,2156
19,9,3599
19,8,4267
19,7,3023
19,6,1254
19,5,392
19,4,125
19,3,40
19,2,12
19,1,3
20,19,2
20,18,6
20,17,16
20,16,37
20,15,81
20,14,180
20,13,382
20,12,836
20,11,1769
20,10,3592
20,9,5428
20,8,5494
20,7,3311
20,6,1254
20,5,392
20,4,125
20,3,40
20,2,12
20,1,3
21,20,3
21,19,7
21,18,20
21,17,42
21,16,100
21,15,207
21,14,468
21,13,974
21,12,2156
21,11,4522
21,10,8056
21,9,10072
21,8,8323
21,7,3891
21,6,1254
21,5,392
21,4,125
21,3,40
21,2,12
21,1,3
22,21,2
22,20,6
22,19,16
22,18,37
22,17,81
22,16,180
22,15,382
22,14,836
22,13,1769
22,12,3844
22,11,7692
22,10,12271
22,9,13497
22,8,9502
22,7,3961
22,6,1254
22,5,392
22,4,125
22,3,40
22,2,12
22,1,3
23,22,3
23,21,7
23,20,20
23,19,42
23,18,100
23,17,207
23,16,468
23,15,974
23,14,2156
23,13,4522
23,12,9903
23,11,17472
23,10,23726
23,9,21880
23,8,12055
23,7,4087
23,6,1254
23,5,392
23,4,125
23,3,40
23,2,12
23,1,3
24,23,2
24,22,6
24,21,16
24,20,37
24,19,81
24,18,180
24,17,382
24,16,836
24,15,1769
24,14,3844
24,13,8154
24,12,16726
24,11,27264
24,10,32863
24,9,26078
24,8,12573
24,7,4087
24,6,1254
24,5,392
24,4,125
24,3,40
24,2,12
24,1,3
25,24,3
25,23,7
25,22,20
25,21,42
25,20,100
25,19,207
25,18,468
25,17,974
25,16,2156
25,15,4522
25,14,9903
25,13,20903
25,12,38631
25,11,54528
25,10,56405
25,9,35729
25,8,13623
25,7,4087
25,6,1254
25,5,392
25,4,125
25,3,40
25,2,12
25,1,3
26,25,2
26,24,6
26,23,16
26,22,37
26,21,81
26,20,180
26,19,382
26,18,836
26,17,1769
26,16,3844
26,15,8154
26,14,17650
26,13,35832
26,12,60768
26,11,77851
26,10,70133
26,9,38473
26,8,13623
26,7,4087
26,6,1254
26,5,392
26,4,125
26,3,40
26,2,12
26,1,3
27,26,3
27,25,7
27,24,20
27,23,42
27,22,100
27,21,207
27,20,468
27,19,974
27,18,2156
27,17,4522
27,16,9903
27,15,20903
27,14,45494
27,13,83606
27,12,125113
27,11,140580
27,10,103352
27,9,44417
27,8,13623
27,7,4087
27,6,1254
27,5,392
27,4,125
27,3,40
27,2,12
27,1,3
28,27,2
28,26,6
28,25,16
28,24,37
28,23,81
28,22,180
28,21,382
28,20,836
28,19,1769
28,18,3844
28,17,8154
28,16,17650
28,15,37548
28,14,77653
28,13,133841
28,12,183064
28,11,181838
28,10,115570
28,9,45005
28,8,13623
28,7,4087
28,6,1254
28,5,392
28,4,125
28,3,40
28,2,12
28,1,3
29,28,3
29,27,7
29,26,20
29,25,42
29,24,100
29,23,207
29,22,468
29,21,974
29,20,2156
29,19,4522
29,18,9903
29,17,20903
29,16,45494
29,15,96475
29,14,183418
29,13,282471
29,12,344639
29,11,286404
29,10,143477
29,9,46181
29,8,13623
29,7,4087
29,6,1254
29,5,392
29,4,125
29,3,40
29,2,12
29,1,3
30,29,2
30,28,6
30,27,16
30,26,37
30,25,81
30,24,180
30,23,382
30,22,836
30,21,1769
30,20,3844
30,19,8154
30,18,17650
30,17,37548
30,16,81085
30,15,166470
30,14,295535
30,13,422612
30,12,462019
30,11,333177
30,10,148433
30,9,46181
30,8,13623
30,7,4087
30,6,1254
30,5,392
30,4,125
30,3,40
30,2,12
30,1,3
31,30,3
31,29,7
31,28,20
31,27,42
31,26,100
31,25,207
31,24,468
31,23,974
31,22,2156
31,21,4522
31,20,9903
31,19,20903
31,18,45494
31,17,96475
31,16,209157
31,15,396395
31,14,637022
31,13,825471
31,12,771569
31,11,445084
31,10,159137
31,9,46181
31,8,13623
31,7,4087
31,6,1254
31,5,392
31,4,125
31,3,40
31,2,12
31,1,3
32,31,2
32,30,6
32,29,16
32,28,37
32,27,81
32,26,180
32,25,382
32,24,836
32,23,1769
32,22,3844
32,21,8154
32,20,17650
32,19,37548
32,18,81085
32,17,172905
32,16,359950
32,15,647118
32,14,970381
32,13,1142431
32,12,934520
32,11,473494
32,10,159137
32,9,46181
32,8,13623
32,7,4087
32,6,1254
32,5,392
32,4,125
32,3,40
32,2,12
32,1,3
33,32,3
33,31,7
33,30,20
33,29,42
33,28,100
33,27,207
33,26,468
33,25,974
33,24,2156
33,23,4522
33,22,9903
33,21,20903
33,20,45494
33,19,96475
33,18,209157
33,17,445014
33,16,865071
33,15,1420971
33,14,1953451
33,13,2008683
33,12,1340353
33,11,538045
33,10,159137
33,9,46181
33,8,13623
33,7,4087
33,6,1254
33,5,392
33,4,125
33,3,40
33,2,12
33,1,3
34,33,2
34,32,6
34,31,16
34,30,37
34,29,81
34,28,180
34,27,382
34,26,836
34,25,1769
34,24,3844
34,23,8154
34,22,17650
34,21,37548
34,20,81085
34,19,172905
34,18,372820
34,17,772103
34,16,1419716
34,15,2200428
34,14,2779663
34,13,2528086
34,12,1475275
34,11,543589
34,10,159137
34,9,46181
34,8,13623
34,7,4087
34,6,1254
34,5,392
34,4,125
34,3,40
34,2,12
34,1,3
35,34,3
35,33,7
35,32,20
35,31,42
35,30,100
35,29,207
35,28,468
35,27,974
35,26,2156
35,25,4522
35,24,9903
35,23,20903
35,22,45494
35,21,96475
35,20,209157
35,19,445014
35,18,962310
35,17,1867575
35,16,3167211
35,15,4550074
35,14,5107533
35,13,3870863
35,12,1794752
35,11,555469
35,10,159137
35,9,46181
35,8,13623
35,7,4087
35,6,1254
35,5,392
35,4,125
35,3,40
35,2,12
35,1,3
36,35,2
36,34,6
36,33,16
36,32,37
36,31,81
36,30,180
36,29,382
36,28,836
36,27,1769
36,26,3844
36,25,8154
36,24,17650
36,23,37548
36,22,81085
36,21,172905
36,20,372820
36,19,796413
36,18,1666843
36,17,3095876
36,16,4970764
36,15,6633729
36,14,6663680
36,13,4418190
36,12,1845836
36,11,555469
36,10,159137
36,9,46181
36,8,13623
36,7,4087
36,6,1254
36,5,392
36,4,125
36,3,40
36,2,12
36,1,3
37,36,3
37,35,7
37,34,20
37,33,42
37,32,100
37,31,207
37,30,468
37,29,974
37,28,2156
37,27,4522
37,26,9903
37,25,20903
37,24,45494
37,23,96475
37,22,209157
37,21,445014
37,20,962310
37,19,2052330
37,18,4060680
37,17,7005499
37,16,10508770
37,15,12665465
37,14,10821953
37,13,5763380
37,12,1961369
37,11,555469
37,10,159137
37,9,46181
37,8,13623
37,7,4087
37,6,1254
37,5,392
37,4,125
37,3,40
37,2,12
37,1,3
38,37,2
38,36,6
38,35,16
38,34,37
38,33,81
38,32,180
38,31,382
38,30,836
38,29,1769
38,28,3844
38,27,8154
38,26,17650
38,25,37548
38,24,81085
38,23,172905
38,22,372820
38,21,796413
38,20,1715463
38,19,3576992
38,18,6760789
38,17,11131563
38,16,15644708
38,15,17071836
38,14,12828903
38,13,6074933
38,12,1961369
38,11,555469
38,10,159137
38,9,46181
38,8,13623
38,7,4087
38,6,1254
38,5,392
38,4,125
38,3,40
38,2,12
38,1,3
39,38,3
39,37,7
39,36,20
39,35,42
39,34,100
39,33,207
39,32,468
39,31,974
39,30,2156
39,29,4522
39,28,9903
39,27,20903
39,26,45494
39,25,96475
39,24,209157
39,23,445014
39,22,962310
39,21,2052330
39,20,4430191
39,19,8759139
39,18,15486485
39,17,24006862
39,16,30858030
39,15,29210465
39,14,17926722
39,13,6807852
39,12,1961369
39,11,555469
39,10,159137
39,9,46181
39,8,13623
39,7,4087
39,6,1254
39,5,392
39,4,125
39,3,40
39,2,12
39,1,3
40,39,2
40,38,6
40,37,16
40,36,37
40,35,81
40,34,180
40,33,382
40,32,836
40,31,1769
40,30,3844
40,29,8154
40,28,17650
40,27,37548
40,26,81085
40,25,172905
40,24,372820
40,23,796413
40,22,1715463
40,21,3669370
40,20,7713316
40,19,14698138
40,18,24860637
40,17,36397455
40,16,42829652
40,15,35925397
40,14,19484729
40,13,6864480
40,12,1961369
40,11,555469
40,10,159137
40,9,46181
40,8,13623
40,7,4087
40,6,1254
40,5,392
40,4,125
40,3,40
40,2,12
40,1,3
41,40,3
41,39,7
41,38,20
41,37,42
41,36,100
41,35,207
41,34,468
41,33,974
41,32,2156
41,31,4522
41,30,9903
41,29,20903
41,28,45494
41,27,96475
41,26,209157
41,25,445014
41,24,962310
41,23,2052330
41,22,4430191
41,21,9464570
41,20,18994094
41,19,34045550
41,18,54515804
41,17,73853223
41,16,76708059
41,15,53520920
41,14,23273349
41,13,6991893
41,12,1961369
41,11,555469
41,10,159137
41,9,46181
41,8,13623
41,7,4087
41,6,1254
41,5,392
41,4,125
41,3,40
41,2,12
41,1,3
42,41,2
42,40,6
42,39,16
42,38,37
42,37,81
42,36,180
42,35,382
42,34,836
42,33,1769
42,32,3844
42,31,8154
42,30,17650
42,29,37548
42,28,81085
42,27,172905
42,26,372820
42,25,796413
42,24,1715463
42,23,3669370
42,22,7898072
42,21,16557686
42,20,31988766
42,19,55177416
42,18,83959724
42,17,105195927
42,16,97727456
42,15,60149113
42,14,23830191
42,13,6991893
42,12,1961369
42,11,555469
42,10,159137
42,9,46181
42,8,13623
42,7,4087
42,6,1254
42,5,392
42,4,125
42,3,40
42,2,12
42,1,3
43,42,3
43,41,7
43,40,20
43,39,42
43,38,100
43,37,207
43,36,468
43,35,974
43,34,2156
43,33,4522
43,32,9903
43,31,20903
43,30,45494
43,29,96475
43,28,209157
43,27,445014
43,26,962310
43,25,2052330
43,24,4430191
43,23,9464570
43,22,20404957
43,21,40943562
43,20,74812320
43,19,122844418
43,18,174518576
43,17,196080750
43,16,154386778
43,15,76768508
43,14,25134208
43,13,6991893
43,12,1961369
43,11,555469
43,10,159137
43,9,46181
43,8,13623
43,7,4087
43,6,1254
43,5,392
43,4,125
43,3,40
44,43,2
44,42,6
44,41,16
44,40,37
44,39,81
44,38,180
44,37,382
44,36,836
44,35,1769
44,34,3844
44,33,8154
44,32,17650
44,31,37548
44,30,81085
44,29,172905
44,28,372820
44,27,796413
44,26,1715463
44,25,3669370
44,24,7898072
44,23,16910402
44,22,35674291
44,21,69384848
44,20,122221119
44,19,191816100
44,18,254319951
44,17,258090741
44,16,179755225
44,15,80336072
44,14,25134208
44,13,6991893
44,12,1961369
44,11,555469
44,10,159137
44,9,46181
44,8,13623
44,7,4087
44,6,1254
44,5,392
44,4,125
44,3,40
45,44,3
45,43,7
45,42,20
45,41,42
45,40,100
45,39,207
45,38,468
45,37,974
45,36,2156
45,35,4522
45,34,9903
45,33,20903
45,32,45494
45,31,96475
45,30,209157
45,29,445014
45,28,962310
45,27,2052330
45,26,4430191
45,25,9464570
45,24,20404957
45,23,43647717
45,22,88608749
45,21,163720027
